geschlecht,alter,bundesland,beruf,konsumhaeufigkeit,situation_freunde_familie,situation_party,situation_zuhause_essen,situation_zuhause_entspannung,situation_oeffentliche_veranstaltungen,situation_gastro,situation_urlaub,involvement_interesse,involvement_rolle,involvement_spass,involvement_wichtigkeit,involvement_vorteilhaft,involvement_unverzichtbar,gesundheit_wichtig,umweltfreundlich_wichtig,neue_produkte_probie,bio_mehrpreis_bereit,tierfrei_wichtig,alkoholverzicht_wichtig,einfluss_geschmack,einfluss_geruch,einfluss_preis,einfluss_markenbekanntheit,einfluss_nachhaltigkeit,einfluss_herkunft,einfluss_verpackungsdesign,einfluss_verpackungsform,einfluss_aktionsangebote,einfluss_alkoholgehalt,einfluss_empfehlung,einfluss_verfuegbarkeit,praef_sorte_alkoholfrei,praef_sorte_weizen,praef_sorte_koelsch,praef_sorte_altbier,praef_sorte_pale_ale,praef_sorte_stout,praef_sorte_maerzen_export,praef_sorte_radler,praef_sorte_pils,praef_sorte_bock_schwarzrauchbier,praef_sorte_helles_lager,praef_sorte_craft_beer,praef_alkoholfrei_0,praef_alkoholfrei_0_5,praef_bier_alkohol,geschmack_rauchig,geschmack_hopfig,geschmack_suesslich_malzig,geschmack_fruchtig,geschmack_kraeuter,geschmack_gewuerze,geschmack_bitter,geschmack_saeuerlich,geschmack_zitrus,quality_score,rule_violations,violation_details,quality_summary
weiblich,2001,Baden-Württemberg,Angestellte / Angestellter,mehrmals pro Woche,3,3,1,2,3,3,2,4,5,1,2,3,1,5,2,2,1,1,1,5,4,2,2,4,3,3,2,4,1,2,4,2,2,4,1,2,1,3,4,4,1,4,1,5,1,5,2,1,4,3,1,3,3,2,3,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (2001) that makes the person under 18, but 'beruf' is 'Angestellte / Angestellter', which requires adulthood.""}",The data row has one violation related to age and profession consistency.
maennlich,1998,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,1,3,2,3,1,2,4,4,2,3,1,2,5,2,1,2,4,3,5,2,2,3,4,3,3,3,2,4,2,3,1,1,2,1,1,3,1,1,5,1,2,3,1,2,2,1,3,2,3,3,2,3,100,[],{},The data row meets all the specified data quality rules.
maennlich,2001,Baden-Württemberg,Schülerin / Schüler,seltener als einmal pro Monat,2,3,2,2,3,2,3,2,2,3,2,2,4,4,4,4,1,1,1,5,2,3,1,2,2,2,3,5,5,3,2,1,3,2,2,3,2,5,4,3,1,4,3,2,2,3,1,4,1,3,4,1,3,2,3,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (2001) that makes the person under 18, but 'beruf' is 'Sch\u00fclerin / Sch\u00fcler', which is a profession requiring adulthood.""}","The data quality is mostly good, but there is an inconsistency between age and profession."
weiblich,2006,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,2,1,2,1,1,2,1,3,4,3,4,5,1,3,2,3,1,5,4,4,1,3,3,1,4,3,3,3,3,1,5,1,1,4,1,1,4,3,2,5,4,2,3,4,2,3,4,2,3,1,3,1,1,72,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (2006) that makes the person under 18, but 'beruf' is 'Studentin / Student', which is inconsistent with the requirement for adulthood.""}","The data quality is mostly acceptable, but there is an inconsistency between age and profession."
weiblich,2001,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,2,3,2,2,3,2,1,3,2,5,4,2,5,2,3,4,4,2,2,5,5,3,2,2,3,3,2,3,1,5,3,5,5,2,1,2,2,4,4,2,2,4,4,5,1,3,2,5,3,1,3,2,3,2,2,86,"[""rule_2"", ""rule_6"", ""rule_7""]","{""rule_2"": ""The 'alter' indicates a year (2001) that makes the person under 18, but 'beruf' is 'Angestellte / Angestellter', which requires adulthood."", ""rule_6"": ""The 'involvement_unverzichtbar' (5) is higher than 'involvement_interesse' (3)."", ""rule_7"": ""The 'praef_sorte_alkoholfrei' is high (5), but 'konsumhaeufigkeit' is 'seltener als einmal pro Monat', which is inconsistent.""}","The data quality is compromised due to multiple inconsistencies regarding age, involvement ratings, and preferences."
maennlich,2004,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,2,3,2,3,3,2,2,5,1,4,3,1,1,2,5,4,2,1,2,5,3,4,4,2,4,3,1,3,4,4,3,5,1,3,1,1,1,4,4,1,2,3,3,1,1,2,2,5,5,5,2,2,2,3,4,86,"[""rule_2"", ""rule_7""]","{""rule_2"": ""The 'alter' indicates a year (2004) that makes the person under 18, but 'beruf' is 'Angestellte / Angestellter', which requires adulthood."", ""rule_7"": ""The 'praef_sorte_alkoholfrei' is rated high (5), but 'konsumhaeufigkeit' is 'seltener als einmal pro Monat', which is inconsistent.""}","The data quality is compromised due to inconsistencies between age and profession, as well as preferences and consumption."
maennlich,2000,Baden-Württemberg,ohne Beschäftigung,mehrmals im Monat,3,3,1,1,2,2,2,5,3,3,2,1,2,3,4,3,1,2,2,5,2,5,1,2,3,2,4,3,5,3,2,1,5,1,1,2,1,4,4,2,1,5,1,2,2,5,2,3,5,4,3,3,2,3,3,100,[],{},The data row meets all the plausibility rules.
maennlich,1998,Baden-Württemberg,in Ausbildung/im Freiwilligendienst,mehrmals im Monat,3,3,1,2,3,3,2,2,3,5,1,2,3,4,4,2,2,2,1,4,3,5,3,2,3,4,2,4,3,3,3,1,1,3,1,1,1,2,2,4,2,4,3,2,3,4,2,3,5,2,1,2,2,2,3,100,[],{},The data row meets all the plausibility rules.
maennlich,2000,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,2,3,1,2,2,2,2,5,2,5,3,4,2,5,2,4,1,1,3,4,3,4,1,2,4,2,2,1,2,3,5,2,5,3,1,1,4,5,4,1,1,5,1,1,1,4,2,2,3,4,3,3,1,2,3,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (2000) that makes the person under 18 (current year is 2023), but 'beruf' is 'Angestellte / Angestellter', which requires adulthood.""}",The data row has one violation related to age and profession consistency.
maennlich,1999,Baden-Württemberg,Angestellte / Angestellter,mehrmals pro Woche,2,3,1,1,1,3,2,2,5,2,2,3,2,5,4,4,4,2,2,4,3,5,3,3,3,3,3,1,5,2,2,2,3,4,3,2,1,2,2,2,2,5,3,1,3,4,2,3,1,5,2,2,3,1,5,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (1999) that makes the person under 18 (current year is 2023), but 'beruf' is 'Angestellte / Angestellter', which requires adulthood.""}",The data row has one violation related to age and profession consistency.
maennlich,1999,keine Angabe,Angestellte / Angestellter,einmal pro Monat,2,3,2,1,1,3,2,5,3,4,2,4,1,5,2,4,2,2,2,4,4,3,5,5,3,2,2,3,2,2,4,5,4,2,2,2,1,1,5,3,2,5,1,1,2,3,2,4,3,3,3,3,2,2,3,86,"[""rule_2"", ""rule_7""]","{""rule_2"": ""The 'alter' indicates a year (1999) that makes the person under 18, but 'beruf' is 'Angestellte / Angestellter', which requires adulthood."", ""rule_7"": ""The 'praef_sorte_alkoholfrei' is rated high (5), but 'konsumhaeufigkeit' is 'einmal pro Monat', which is inconsistent.""}","The data row has some inconsistencies regarding age and profession, as well as preferences and consumption."
maennlich,2005,Baden-Württemberg,Studentin / Student,einmal pro Monat,3,3,1,1,3,2,3,1,1,3,2,1,1,5,3,5,3,1,2,5,4,4,3,2,5,3,3,5,2,5,5,1,1,1,1,1,2,1,3,3,1,5,2,1,5,5,2,3,3,2,3,3,1,3,3,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (2005) that makes the person under 18 (current year is 2023), while 'beruf' is 'Studentin / Student', which is a profession that typically requires adulthood.""}","The data quality is mostly good, but there is an inconsistency between age and profession."
weiblich,2002,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,2,2,3,1,2,2,4,1,1,1,5,1,4,2,1,4,3,4,2,3,5,1,2,3,3,3,2,4,1,4,1,3,2,1,1,3,4,2,5,1,5,5,5,2,3,3,1,4,3,2,2,5,86,"[""rule_2"", ""rule_4""]","{""rule_2"": ""The 'alter' indicates a year (2002) that makes the person under 18 (current year 2023), but 'beruf' is 'Studentin / Student', which is a profession requiring adulthood."", ""rule_4"": ""The 'alkoholverzicht_wichtig' is rated high (4), but 'konsumhaeufigkeit' is 'mehrmals im Monat', which is inconsistent.""}",The data quality is compromised due to inconsistencies in age-related profession and alcohol consumption ratings.
maennlich,1999,Baden-Württemberg,Beamtin / Beamter,mehrmals im Monat,3,3,1,1,3,2,1,2,3,3,1,3,2,5,4,5,2,1,1,4,4,4,2,3,3,4,2,3,3,3,2,3,2,1,1,3,1,4,1,1,2,4,1,2,3,3,1,5,1,2,3,1,1,2,3,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (1999) that makes the person under 18, but 'beruf' is 'Beamtin / Beamter', which requires adulthood.""}",The data row has one violation related to age and profession consistency.
weiblich,1998,Baden-Württemberg,Angestellte / Angestellter,einmal pro Monat,2,2,2,2,1,1,2,4,2,1,1,3,1,3,1,3,2,2,1,5,5,4,1,2,4,2,2,3,4,4,3,2,3,4,1,2,1,3,3,3,2,2,2,1,3,5,2,4,1,3,1,1,1,2,3,86,"[""rule_2""]","{""rule_2"": ""The 'alter' indicates a year (1998) that makes the person under 18, but 'beruf' is 'Angestellte / Angestellter', which requires adulthood.""}",The data row has one violation related to age and profession consistency.
maennlich,2006,Baden-Württemberg,Angestellte / Angestellter,mehrmals pro Woche,1,3,3,2,3,2,2,1,1,3,1,3,2,5,2,5,2,5,1,5,4,4,3,2,4,3,3,2,2,2,1,4,3,1,3,1,5,4,1,2,1,3,1,1,1,4,2,3,1,5,2,3,2,2,1,72,"[""rule_2"", ""rule_7""]","{""rule_2"": ""The 'alter' indicates a year (2006) that makes the person under 18 (current year is 2023), but 'beruf' is 'Angestellte / Angestellter', which requires adulthood."", ""rule_7"": ""The 'praef_sorte_alkoholfrei' is rated high (4), but 'konsumhaeufigkeit' is 'mehrmals pro Woche', which is inconsistent.""}",The data row contains inconsistencies regarding age-related profession eligibility and preferences related to alcohol consumption.
